RuleID,RuleTitle,RuleCategory,RuleText,Country,Priority,Version
AML_00044,PEP Rule 44,PEP,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,India,Critical,v5.0
AML_00045,CDD Rule 45,CDD,Suspicious activity reports must be filed for unusual behavior.,India,Critical,v5.0
AML_00046,PEP Rule 46,PEP,Beneficial ownership verification is required for business accounts.,Global,Low,v5.0
AML_00047,PEP Rule 47,PEP,Suspicious activity reports must be filed for unusual behavior.,UK,Critical,v2.0
AML_00048,EDD Rule 48,EDD,Suspicious activity reports must be filed for unusual behavior.,Global,Critical,v2.0
AML_00049,SANCTION Rule 49,SANCTION,Customers with incomplete documentation must be placed under manual review.,UK,High,v1.0
AML_00050,PEP Rule 50,PEP,Source of funds verification is mandatory for high-value customers.,Global,Medium,v4.0
AML_00051,CDD Rule 51,CDD,Identity verification must be completed before account activation.,Global,High,v4.0
AML_00052,AML Rule 52,AML,Source of funds verification is mandatory for high-value customers.,UK,Low,v1.0
AML_00053,AML Rule 53,AML,Customers from high-risk countries require additional verification.,UK,Low,v5.0
AML_00054,ONBOARDING Rule 54,ONBOARDING,Customers with incomplete documentation must be placed under manual review.,USA,Critical,v1.0
AML_00055,AML Rule 55,AML,Beneficial ownership verification is required for business accounts.,India,High,v1.0
AML_00056,PEP Rule 56,PEP,Beneficial ownership verification is required for business accounts.,Global,Critical,v5.0
AML_00057,COUNTRY_RISK Rule 57,COUNTRY_RISK,Customers from North Korea must undergo enhanced verification.,UK,Critical,v2.0
AML_00058,SANCTION Rule 58,SANCTION,Customers from high-risk countries require additional verification.,UK,Low,v2.0
AML_00059,PEP Rule 59,PEP,Identity verification must be completed before account activation.,USA,Low,v2.0
AML_00060,SANCTION Rule 60,SANCTION,Suspicious activity reports must be filed for unusual behavior.,India,Low,v1.0
AML_00061,PEP Rule 61,PEP,Suspicious activity reports must be filed for unusual behavior.,USA,High,v4.0
AML_00062,PEP Rule 62,PEP,Beneficial ownership verification is required for business accounts.,Global,Critical,v5.0
AML_00063,ONBOARDING Rule 63,ONBOARDING,Suspicious activity reports must be filed for unusual behavior.,UK,Medium,v3.0
AML_00064,PEP Rule 64,PEP,Transactions inconsistent with customer profile should trigger AML review.,UK,Critical,v4.0
AML_00065,ONBOARDING Rule 65,ONBOARDING,Beneficial ownership verification is required for business accounts.,India,Medium,v3.0
AML_00066,ONBOARDING Rule 66,ONBOARDING,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,India,High,v4.0
AML_00067,EDD Rule 67,EDD,Customers with incomplete documentation must be placed under manual review.,USA,High,v1.0
AML_00068,COUNTRY_RISK Rule 68,COUNTRY_RISK,Customers from Afghanistan must undergo enhanced verification.,India,Low,v1.0
AML_00069,CDD Rule 69,CDD,Customers appearing on sanctions lists must be rejected immediately.,Global,Critical,v5.0
AML_00070,EDD Rule 70,EDD,Customers appearing on sanctions lists must be rejected immediately.,Global,Medium,v5.0
AML_00071,ONBOARDING Rule 71,ONBOARDING,Source of funds verification is mandatory for high-value customers.,UK,Medium,v3.0
AML_00072,CDD Rule 72,CDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,Global,Critical,v4.0
AML_00073,SANCTION Rule 73,SANCTION,Customers with incomplete documentation must be placed under manual review.,USA,High,v2.0
AML_00074,PEP Rule 74,PEP,Customers with incomplete documentation must be placed under manual review.,India,Low,v3.0
AML_00075,AML Rule 75,AML,Beneficial ownership verification is required for business accounts.,UK,Low,v3.0
AML_00076,COUNTRY_RISK Rule 76,COUNTRY_RISK,Customers from Syria must undergo enhanced verification.,India,Medium,v5.0
AML_00077,PEP Rule 77,PEP,Customers appearing on sanctions lists must be rejected immediately.,USA,Low,v4.0
AML_00078,CDD Rule 78,CDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,India,High,v2.0
AML_00079,COUNTRY_RISK Rule 79,COUNTRY_RISK,Customers from Myanmar must undergo enhanced verification.,Global,Medium,v2.0
AML_00080,PEP Rule 80,PEP,Customers appearing on sanctions lists must be rejected immediately.,India,Critical,v3.0
AML_00081,SANCTION Rule 81,SANCTION,Customers appearing on sanctions lists must be rejected immediately.,UK,High,v5.0
AML_00082,SANCTION Rule 82,SANCTION,Customers from high-risk countries require additional verification.,UK,High,v1.0
AML_00083,CDD Rule 83,CDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,High,v2.0
AML_00084,PEP Rule 84,PEP,Address proof must be verified during onboarding.,UK,Critical,v5.0
AML_00085,ONBOARDING Rule 85,ONBOARDING,Transactions inconsistent with customer profile should trigger AML review.,Global,High,v2.0
AML_00086,EDD Rule 86,EDD,Source of funds verification is mandatory for high-value customers.,Global,Critical,v3.0
AML_00087,ONBOARDING Rule 87,ONBOARDING,Suspicious activity reports must be filed for unusual behavior.,UK,High,v5.0
AML_00088,ONBOARDING Rule 88,ONBOARDING,Transactions inconsistent with customer profile should trigger AML review.,Global,Low,v1.0
AML_00089,PEP Rule 89,PEP,Customers from high-risk countries require additional verification.,India,Medium,v4.0
AML_00090,COUNTRY_RISK Rule 90,COUNTRY_RISK,Customers from Syria must undergo enhanced verification.,USA,Critical,v2.0
AML_00091,COUNTRY_RISK Rule 91,COUNTRY_RISK,Customers from Syria must undergo enhanced verification.,India,Low,v1.0
AML_00092,SANCTION Rule 92,SANCTION,Customers appearing on sanctions lists must be rejected immediately.,UK,Medium,v2.0
AML_00093,EDD Rule 93,EDD,Transactions inconsistent with customer profile should trigger AML review.,India,Critical,v1.0
AML_00094,AML Rule 94,AML,Customers with incomplete documentation must be placed under manual review.,India,High,v1.0
AML_00095,AML Rule 95,AML,Transactions inconsistent with customer profile should trigger AML review.,India,Medium,v4.0
AML_00096,ONBOARDING Rule 96,ONBOARDING,Suspicious activity reports must be filed for unusual behavior.,India,Critical,v5.0
AML_00097,EDD Rule 97,EDD,Identity verification must be completed before account activation.,USA,Low,v3.0
AML_00098,PEP Rule 98,PEP,Address proof must be verified during onboarding.,USA,Medium,v1.0
AML_00099,ONBOARDING Rule 99,ONBOARDING,Beneficial ownership verification is required for business accounts.,Global,High,v4.0
AML_00100,EDD Rule 100,EDD,Customers from high-risk countries require additional verification.,Global,Medium,v1.0
AML_00101,CDD Rule 101,CDD,Suspicious activity reports must be filed for unusual behavior.,Global,Low,v1.0
AML_00102,AML Rule 102,AML,Customers from high-risk countries require additional verification.,USA,Low,v2.0
AML_00103,ONBOARDING Rule 103,ONBOARDING,Address proof must be verified during onboarding.,India,Critical,v4.0
AML_00104,AML Rule 104,AML,Address proof must be verified during onboarding.,Global,Medium,v5.0
AML_00105,AML Rule 105,AML,Suspicious activity reports must be filed for unusual behavior.,India,High,v5.0
AML_00106,EDD Rule 106,EDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,Global,Critical,v4.0
AML_00107,SANCTION Rule 107,SANCTION,Customers with incomplete documentation must be placed under manual review.,India,Medium,v3.0
AML_00108,COUNTRY_RISK Rule 108,COUNTRY_RISK,Customers from North Korea must undergo enhanced verification.,Global,Medium,v2.0
AML_00109,PEP Rule 109,PEP,Address proof must be verified during onboarding.,UK,Low,v1.0
AML_00110,EDD Rule 110,EDD,Identity verification must be completed before account activation.,India,Low,v4.0
AML_00111,PEP Rule 111,PEP,Identity verification must be completed before account activation.,UK,High,v5.0
AML_00112,SANCTION Rule 112,SANCTION,Customers appearing on sanctions lists must be rejected immediately.,USA,Low,v5.0
AML_00113,PEP Rule 113,PEP,Identity verification must be completed before account activation.,UK,Low,v5.0
AML_00114,PEP Rule 114,PEP,Customers with incomplete documentation must be placed under manual review.,Global,Medium,v3.0
AML_00115,CDD Rule 115,CDD,Beneficial ownership verification is required for business accounts.,USA,Low,v2.0
AML_00116,COUNTRY_RISK Rule 116,COUNTRY_RISK,Customers from Syria must undergo enhanced verification.,India,Medium,v2.0
AML_00117,EDD Rule 117,EDD,Transactions inconsistent with customer profile should trigger AML review.,Global,Low,v5.0
AML_00118,EDD Rule 118,EDD,Source of funds verification is mandatory for high-value customers.,UK,Low,v5.0
AML_00119,ONBOARDING Rule 119,ONBOARDING,Address proof must be verified during onboarding.,Global,Low,v2.0
AML_00120,CDD Rule 120,CDD,Customers with incomplete documentation must be placed under manual review.,India,Medium,v5.0
AML_00121,SANCTION Rule 121,SANCTION,Identity verification must be completed before account activation.,UK,Low,v1.0
AML_00122,AML Rule 122,AML,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,High,v2.0
AML_00123,AML Rule 123,AML,Transactions inconsistent with customer profile should trigger AML review.,Global,Medium,v2.0
AML_00124,CDD Rule 124,CDD,Suspicious activity reports must be filed for unusual behavior.,UK,Low,v4.0
AML_00125,CDD Rule 125,CDD,Source of funds verification is mandatory for high-value customers.,USA,High,v3.0
AML_00126,PEP Rule 126,PEP,Transactions inconsistent with customer profile should trigger AML review.,India,Critical,v1.0
AML_00127,ONBOARDING Rule 127,ONBOARDING,Address proof must be verified during onboarding.,UK,Critical,v2.0
AML_00128,AML Rule 128,AML,Suspicious activity reports must be filed for unusual behavior.,UK,Low,v1.0
AML_00129,AML Rule 129,AML,Identity verification must be completed before account activation.,UK,High,v5.0
AML_00130,SANCTION Rule 130,SANCTION,Transactions inconsistent with customer profile should trigger AML review.,Global,Low,v5.0
AML_00131,ONBOARDING Rule 131,ONBOARDING,Suspicious activity reports must be filed for unusual behavior.,USA,High,v5.0
AML_00132,PEP Rule 132,PEP,Identity verification must be completed before account activation.,USA,Medium,v5.0
AML_00133,AML Rule 133,AML,Suspicious activity reports must be filed for unusual behavior.,India,Low,v4.0
AML_00134,PEP Rule 134,PEP,Customers from high-risk countries require additional verification.,USA,Medium,v5.0
AML_00135,ONBOARDING Rule 135,ONBOARDING,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,High,v5.0
AML_00136,AML Rule 136,AML,Source of funds verification is mandatory for high-value customers.,USA,Medium,v5.0
AML_00137,PEP Rule 137,PEP,Address proof must be verified during onboarding.,UK,Low,v5.0
AML_00138,SANCTION Rule 138,SANCTION,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,UK,High,v2.0
AML_00139,SANCTION Rule 139,SANCTION,Customers appearing on sanctions lists must be rejected immediately.,USA,Medium,v1.0
AML_00140,COUNTRY_RISK Rule 140,COUNTRY_RISK,Customers from Myanmar must undergo enhanced verification.,India,Critical,v5.0
AML_00141,ONBOARDING Rule 141,ONBOARDING,Customers from high-risk countries require additional verification.,UK,High,v4.0
AML_00142,ONBOARDING Rule 142,ONBOARDING,Beneficial ownership verification is required for business accounts.,Global,High,v4.0
AML_00143,AML Rule 143,AML,Transactions inconsistent with customer profile should trigger AML review.,India,Critical,v3.0
AML_00144,PEP Rule 144,PEP,Source of funds verification is mandatory for high-value customers.,Global,Medium,v3.0
AML_00145,PEP Rule 145,PEP,Beneficial ownership verification is required for business accounts.,UK,Critical,v3.0
AML_00146,SANCTION Rule 146,SANCTION,Transactions inconsistent with customer profile should trigger AML review.,Global,Low,v3.0
AML_00147,EDD Rule 147,EDD,Transactions inconsistent with customer profile should trigger AML review.,Global,Low,v1.0
AML_00148,PEP Rule 148,PEP,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,Global,High,v3.0
AML_00149,PEP Rule 149,PEP,Customers appearing on sanctions lists must be rejected immediately.,UK,High,v3.0
AML_00150,CDD Rule 150,CDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,India,Medium,v5.0
AML_00151,AML Rule 151,AML,Address proof must be verified during onboarding.,India,High,v3.0
AML_00152,SANCTION Rule 152,SANCTION,Customers with incomplete documentation must be placed under manual review.,India,Low,v5.0
AML_00153,AML Rule 153,AML,Beneficial ownership verification is required for business accounts.,India,Medium,v5.0
AML_00154,EDD Rule 154,EDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,UK,Critical,v5.0
AML_00155,SANCTION Rule 155,SANCTION,Beneficial ownership verification is required for business accounts.,USA,Medium,v3.0
AML_00156,SANCTION Rule 156,SANCTION,Customers from high-risk countries require additional verification.,UK,Critical,v1.0
AML_00157,AML Rule 157,AML,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,Global,Low,v4.0
AML_00158,SANCTION Rule 158,SANCTION,Customers with incomplete documentation must be placed under manual review.,UK,High,v2.0
AML_00159,CDD Rule 159,CDD,Address proof must be verified during onboarding.,Global,Low,v5.0
AML_00160,PEP Rule 160,PEP,Customers with incomplete documentation must be placed under manual review.,UK,High,v1.0
AML_00161,SANCTION Rule 161,SANCTION,Source of funds verification is mandatory for high-value customers.,USA,Low,v3.0
AML_00162,AML Rule 162,AML,Beneficial ownership verification is required for business accounts.,Global,High,v2.0
AML_00163,ONBOARDING Rule 163,ONBOARDING,Transactions inconsistent with customer profile should trigger AML review.,India,Low,v3.0
AML_00164,AML Rule 164,AML,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,High,v2.0
AML_00165,PEP Rule 165,PEP,Beneficial ownership verification is required for business accounts.,Global,Medium,v2.0
AML_00166,AML Rule 166,AML,Customers appearing on sanctions lists must be rejected immediately.,India,High,v1.0
AML_00167,EDD Rule 167,EDD,Address proof must be verified during onboarding.,UK,Low,v2.0
AML_00168,AML Rule 168,AML,Identity verification must be completed before account activation.,UK,Critical,v1.0
AML_00169,CDD Rule 169,CDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,Global,Medium,v5.0
AML_00170,SANCTION Rule 170,SANCTION,Suspicious activity reports must be filed for unusual behavior.,UK,Critical,v2.0
AML_00171,EDD Rule 171,EDD,Source of funds verification is mandatory for high-value customers.,India,Low,v3.0
AML_00172,PEP Rule 172,PEP,Identity verification must be completed before account activation.,USA,Critical,v5.0
AML_00173,CDD Rule 173,CDD,Address proof must be verified during onboarding.,India,Critical,v2.0
AML_00174,PEP Rule 174,PEP,Customers from high-risk countries require additional verification.,UK,Medium,v2.0
AML_00175,COUNTRY_RISK Rule 175,COUNTRY_RISK,Customers from Iran must undergo enhanced verification.,Global,Critical,v2.0
AML_00176,EDD Rule 176,EDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,UK,Low,v5.0
AML_00177,COUNTRY_RISK Rule 177,COUNTRY_RISK,Customers from Iran must undergo enhanced verification.,India,Critical,v2.0
AML_00178,EDD Rule 178,EDD,Suspicious activity reports must be filed for unusual behavior.,UK,Medium,v5.0
AML_00179,AML Rule 179,AML,Identity verification must be completed before account activation.,UK,Medium,v4.0
AML_00180,PEP Rule 180,PEP,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,India,Critical,v3.0
AML_00181,COUNTRY_RISK Rule 181,COUNTRY_RISK,Customers from North Korea must undergo enhanced verification.,UK,High,v3.0
AML_00182,ONBOARDING Rule 182,ONBOARDING,Customers with incomplete documentation must be placed under manual review.,Global,High,v4.0
AML_00183,CDD Rule 183,CDD,Transactions inconsistent with customer profile should trigger AML review.,USA,High,v3.0
AML_00184,COUNTRY_RISK Rule 184,COUNTRY_RISK,Customers from Afghanistan must undergo enhanced verification.,India,Medium,v4.0
AML_00185,EDD Rule 185,EDD,Customers from high-risk countries require additional verification.,USA,High,v2.0
AML_00186,COUNTRY_RISK Rule 186,COUNTRY_RISK,Customers from Syria must undergo enhanced verification.,UK,High,v2.0
AML_00187,COUNTRY_RISK Rule 187,COUNTRY_RISK,Customers from North Korea must undergo enhanced verification.,Global,Critical,v5.0
AML_00188,COUNTRY_RISK Rule 188,COUNTRY_RISK,Customers from North Korea must undergo enhanced verification.,Global,High,v4.0
AML_00189,ONBOARDING Rule 189,ONBOARDING,Customers with incomplete documentation must be placed under manual review.,UK,Medium,v4.0
AML_00190,PEP Rule 190,PEP,Identity verification must be completed before account activation.,India,High,v3.0
AML_00191,SANCTION Rule 191,SANCTION,Identity verification must be completed before account activation.,Global,High,v4.0
AML_00192,EDD Rule 192,EDD,Identity verification must be completed before account activation.,Global,Critical,v2.0
AML_00193,AML Rule 193,AML,Identity verification must be completed before account activation.,India,Medium,v2.0
AML_00194,AML Rule 194,AML,Transactions inconsistent with customer profile should trigger AML review.,Global,Critical,v4.0
AML_00195,AML Rule 195,AML,Customers from high-risk countries require additional verification.,USA,Critical,v5.0
AML_00196,SANCTION Rule 196,SANCTION,Transactions inconsistent with customer profile should trigger AML review.,Global,Low,v4.0
AML_00197,PEP Rule 197,PEP,Suspicious activity reports must be filed for unusual behavior.,USA,High,v4.0
AML_00198,EDD Rule 198,EDD,Suspicious activity reports must be filed for unusual behavior.,India,Critical,v4.0
AML_00199,ONBOARDING Rule 199,ONBOARDING,Customers with incomplete documentation must be placed under manual review.,UK,High,v2.0
AML_00200,EDD Rule 200,EDD,Beneficial ownership verification is required for business accounts.,USA,Low,v1.0
AML_00201,EDD Rule 201,EDD,Suspicious activity reports must be filed for unusual behavior.,India,Medium,v4.0
AML_00202,AML Rule 202,AML,Transactions inconsistent with customer profile should trigger AML review.,UK,Low,v2.0
AML_00203,EDD Rule 203,EDD,Address proof must be verified during onboarding.,India,Medium,v5.0
AML_00204,SANCTION Rule 204,SANCTION,Customers with incomplete documentation must be placed under manual review.,USA,Low,v5.0
AML_00205,EDD Rule 205,EDD,Customers with incomplete documentation must be placed under manual review.,USA,Critical,v4.0
AML_00206,EDD Rule 206,EDD,Address proof must be verified during onboarding.,UK,High,v2.0
AML_00207,ONBOARDING Rule 207,ONBOARDING,Transactions inconsistent with customer profile should trigger AML review.,Global,Medium,v2.0
AML_00208,PEP Rule 208,PEP,Customers from high-risk countries require additional verification.,Global,Medium,v5.0
AML_00209,EDD Rule 209,EDD,Customers from high-risk countries require additional verification.,India,High,v3.0
AML_00210,EDD Rule 210,EDD,Customers appearing on sanctions lists must be rejected immediately.,USA,Medium,v5.0
AML_00211,SANCTION Rule 211,SANCTION,Transactions inconsistent with customer profile should trigger AML review.,USA,High,v2.0
AML_00212,PEP Rule 212,PEP,Customers with incomplete documentation must be placed under manual review.,USA,High,v1.0
AML_00213,SANCTION Rule 213,SANCTION,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,UK,Critical,v1.0
AML_00214,EDD Rule 214,EDD,Source of funds verification is mandatory for high-value customers.,USA,Medium,v3.0
AML_00215,CDD Rule 215,CDD,Customers with incomplete documentation must be placed under manual review.,UK,Critical,v3.0
AML_00216,AML Rule 216,AML,Transactions inconsistent with customer profile should trigger AML review.,UK,Critical,v3.0
AML_00217,ONBOARDING Rule 217,ONBOARDING,Customers from high-risk countries require additional verification.,USA,Low,v3.0
AML_00218,AML Rule 218,AML,Transactions inconsistent with customer profile should trigger AML review.,USA,Critical,v4.0
AML_00219,ONBOARDING Rule 219,ONBOARDING,Address proof must be verified during onboarding.,Global,High,v5.0
AML_00220,PEP Rule 220,PEP,Customers appearing on sanctions lists must be rejected immediately.,India,Medium,v1.0
AML_00221,CDD Rule 221,CDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,Global,Low,v3.0
AML_00222,PEP Rule 222,PEP,Customers from high-risk countries require additional verification.,UK,Medium,v1.0
AML_00223,PEP Rule 223,PEP,Suspicious activity reports must be filed for unusual behavior.,Global,Low,v3.0
AML_00224,AML Rule 224,AML,Source of funds verification is mandatory for high-value customers.,UK,High,v5.0
AML_00225,PEP Rule 225,PEP,Identity verification must be completed before account activation.,USA,Medium,v2.0
AML_00226,PEP Rule 226,PEP,Customers from high-risk countries require additional verification.,India,Critical,v2.0
AML_00227,EDD Rule 227,EDD,Customers from high-risk countries require additional verification.,Global,Medium,v5.0
AML_00228,PEP Rule 228,PEP,Suspicious activity reports must be filed for unusual behavior.,India,Critical,v2.0
AML_00229,AML Rule 229,AML,Source of funds verification is mandatory for high-value customers.,Global,Medium,v5.0
AML_00230,EDD Rule 230,EDD,Customers from high-risk countries require additional verification.,India,Medium,v3.0
AML_00231,SANCTION Rule 231,SANCTION,Source of funds verification is mandatory for high-value customers.,UK,Medium,v2.0
AML_00232,COUNTRY_RISK Rule 232,COUNTRY_RISK,Customers from Iran must undergo enhanced verification.,USA,Medium,v5.0
AML_00233,COUNTRY_RISK Rule 233,COUNTRY_RISK,Customers from Afghanistan must undergo enhanced verification.,India,Critical,v2.0
AML_00234,AML Rule 234,AML,Customers appearing on sanctions lists must be rejected immediately.,Global,Critical,v4.0
AML_00235,COUNTRY_RISK Rule 235,COUNTRY_RISK,Customers from North Korea must undergo enhanced verification.,India,Medium,v2.0
AML_00236,ONBOARDING Rule 236,ONBOARDING,Customers appearing on sanctions lists must be rejected immediately.,UK,Medium,v5.0
AML_00237,ONBOARDING Rule 237,ONBOARDING,Customers with incomplete documentation must be placed under manual review.,India,Medium,v4.0
AML_00238,PEP Rule 238,PEP,Customers appearing on sanctions lists must be rejected immediately.,Global,Critical,v3.0
AML_00239,EDD Rule 239,EDD,Customers with incomplete documentation must be placed under manual review.,Global,Critical,v2.0
AML_00240,CDD Rule 240,CDD,Customers with incomplete documentation must be placed under manual review.,Global,High,v5.0
AML_00241,AML Rule 241,AML,Customers appearing on sanctions lists must be rejected immediately.,UK,High,v2.0
AML_00242,ONBOARDING Rule 242,ONBOARDING,Transactions inconsistent with customer profile should trigger AML review.,Global,Low,v2.0
AML_00243,PEP Rule 243,PEP,Customers from high-risk countries require additional verification.,UK,Medium,v2.0
AML_00244,CDD Rule 244,CDD,Identity verification must be completed before account activation.,UK,High,v4.0
AML_00245,EDD Rule 245,EDD,Source of funds verification is mandatory for high-value customers.,Global,High,v4.0
AML_00246,AML Rule 246,AML,Transactions inconsistent with customer profile should trigger AML review.,USA,Medium,v4.0
AML_00247,COUNTRY_RISK Rule 247,COUNTRY_RISK,Customers from North Korea must undergo enhanced verification.,India,Critical,v3.0
AML_00248,SANCTION Rule 248,SANCTION,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,Critical,v5.0
AML_00249,CDD Rule 249,CDD,Transactions inconsistent with customer profile should trigger AML review.,India,Medium,v1.0
AML_00250,AML Rule 250,AML,Customers with incomplete documentation must be placed under manual review.,India,High,v4.0
AML_00251,AML Rule 251,AML,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,Low,v2.0
AML_00252,CDD Rule 252,CDD,Customers appearing on sanctions lists must be rejected immediately.,Global,Critical,v2.0
AML_00253,CDD Rule 253,CDD,Identity verification must be completed before account activation.,UK,Medium,v5.0
AML_00254,COUNTRY_RISK Rule 254,COUNTRY_RISK,Customers from Iran must undergo enhanced verification.,Global,Medium,v1.0
AML_00255,ONBOARDING Rule 255,ONBOARDING,Address proof must be verified during onboarding.,India,Low,v2.0
AML_00256,PEP Rule 256,PEP,Customers appearing on sanctions lists must be rejected immediately.,Global,High,v3.0
AML_00257,ONBOARDING Rule 257,ONBOARDING,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,Medium,v3.0
